Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802465,1866572973,2786045392,3671816538,4116699576,4685729739,5505984456,5748990555,6651226179,8370020196,10022840635,10903626824,12550175101,15441062281,18711890354,17264893103,16847493059,18318439121,16906005781,17851326454,18344278253
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961821894,45275747861,60752177439,49208656976,55220932614,59734593905,63615445567,73097619637,76139250365
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072479.84,29965001.85,31857593.86,33750115.88,36194588.47,40069931.47,44405595.96,47379308.71,44910180.72,47305390.35,53233534.21,59207317.43,66062499.17,78343558.28,103216371.9,118066302.3,96905828.73,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550000,314900000,363150000,413050000,444720750,518143700,559759650,580760200,620031750,641271350,654198100,688872450,732608000,831750000,871840750,932676400,990350000,1057850000,1114202700,1217442150,1290542550,1368625150,1336957250,1397113450,1487005600,1573867300,1624294250,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.9,612518906.8,669722541.3,721142957.3,812543072.5,908874537,994044553.9,1084059815,908874537,964615698.7,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606676,5594118400,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343259389,5643864408,5734703452,5981218997,6715164551,7396952081,7925733786,8497499333,8285061618,8397858185,8141513292,7905485216,8082396526,8773451739,9549122264,11451869165,13120183157,16674324634,17339992165,19649631308,23948541156,27035110130,30601157742,34175832127
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2E+11,3.15E+11,4.256E+11,4.61952E+11,4.07338E+11,3.90567E+11,4.38299E+11,5.58112E+11,7.85672E+11,8.53504E+11,8.86337E+11,8.66842E+11,6.01894E+11,6.57216E+11,5.59612E+11,5.0878E+11,5.59008E+11,6.69643E+11,8.92107E+11,1.10779E+12,1.39597E+12,1.69462E+12,1.66456E+12,2.2094E+12,2.61519E+12,2.41317E+12,2.39209E+12,2.34612E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,87383113.71,93216432.38,96949756.33,109083059.2,108383060.9,114683045.1,123608022.7,137103729.9,137300000,154400000,181500000,204010328.9,233383640,284759098.1,340492903.7,402158285.8,435871861.9,495116619.3,552876225.3,670312672.3,860438453.3,946949724.9,989409791.7,1050464828,1144931026,1198180246,1315567053,1448665028,1540893883,1703922715,2023318164,2007109743,1950900000,2046188943,2151295089,2261969772,2411872814,2549296365,2874459181,3012031889,3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4303500000,4546000000,4595000000,4602000000,4445500000,4358000000,4313000000,4281000000,4348000000
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531417164,11470462389,12247680676,14393437576,10732593024,12370530144,16691360425,16953952578,16111135786,17256754269
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869609.3,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1781261413,1821412873
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30411418.77,32902592.61,35644932.16,38091832.74,41616368.1,45788670.77,51465624.53,58642385.17,66248426.63,77361532.5,96243298.14,126954476.8,165253184.2,244124114.8,306044207.5,355168715.6,372025093,451624957.3,590407374.4,819870590.8,1060889704,1073812407,1014945863,1172230578,1240821852,1114783536,1392602038,1965227089,2644554882,3083822372,3790636671,3942877347,4146464587,4160129175,4259258811,4730599685,4847757699,5020265173,4790481509,5484263050,5788311649,5489646898,5438856514,7511538757,8957491776,9931223498,10089153103,10939062374,10945056878,10267108398,12786670175,15682932628,14792390177,14979306814,15813371063
